Name,Price1,Price2,Price3
gallon - $120.00 (USD),case (4 gallons) - $472.00 (USD),double case (8) 2 week lead time - $928.00 (USD)
CAPPUCCINO FLAVOR,
gallon - $91.20 (USD),case (4) 2week lead time - $352.00 (USD)
CARAMEL (ORIGINAL) FLAVOR,
gallon - $91.20 (USD),case (4) 2week lead time - $356.80 (USD),double case (8) 2 week lead time - $697.60 (USD)
CARAMEL CANDY FLAVOR,
gallon - $95.00 (USD),case (4 gallons) - $368.00 (USD),double case (8) 2 week lead time - $720.00 (USD)
CARAMEL CAPPUCCINO FLAVOR,
gallon - $210.00 (USD),case (4) 2week lead time - $800.00 (USD)
CARAMEL FLAVOR,
gallon - $91.20 (USD),case (4) 2week lead time - $356.00 (USD),double case (8) 2 week lead time - $696.00 (USD)
CC SAMPLE PACK - MINT,

CC SAMPLE PACK - TOBACCO,

CHAI TEA FLAVOR **,
gallon - $115.00 (USD),case (4) 2week lead time - $420.00 (USD),double case (8) 2 week lead time - $824.00 (USD)
CHAI TEA II FLAVOR,
gallon - $115.00 (USD),case (4) 2week lead time - $420.00 (USD)
CHAMPAGNE TYPE FLAVOR (PG),
gallon - $85.00 (USD),case (4) 2week lead time - $328.00 (USD),double case (8) 2 week lead time - $640.00 (USD)
CHEESECAKE FLAVOR,
gallon - $85.50 (USD),case (4) 2week lead time - $302.00 (USD),double case (8) 2 week lead time - $550.00 (USD)
CHEESECAKE FLAVOR (GRAHAM CRUST),
gallon - $105.00 (USD),case (4) 2week lead time - $412.00 (USD),double case (8) 2 week lead time - $808.00 (USD)
CHERRY BLOSSOM (PG),
gallon - $148.20 (USD),case (4) 2week lead time - $480.00 (USD)
CHERRY EXTRACT FLAVOR**,
gallon - $85.00 (USD),case (4) 2week lead time - $320.00 (USD),double case (8) 2 week lead time - $600.00 (USD)
CHILI MANGO FLAVOR,
gallon - $119.00 (USD),case (4 gallons) - $400.00 (USD)
CHOCOLATE COCONUT ALMOND CANDY BAR FLAVOR,
gallon - $122.50 (USD)
CHOCOLATE FLAVOR,
gallon - $85.50 (USD),case (4) 2week lead time - $302.00 (USD),double case (8) 2 week lead time - $547.08 (USD)
CIGARILLO FLAVOR,
gallon - $85.50 (USD),case (4) 2week lead time - $332.00 (USD),double case (8) 2 week lead time - $656.00 (USD)
CINNAMON DANISH FLAVOR,
gallon - $105.00 (USD),case (4) 2week lead time - $380.00 (USD),double case (8) 2 week lead time - $748.00 (USD)
CINNAMON FLAVOR **,
gallon - $102.00 (USD),case (4) 2week lead time - $404.00 (USD)
CINNAMON RED HOT (PG),
gallon - $100.00 (USD),case (4) 2week lead time - $360.00 (USD)
CINNAMON RED HOT FLAVOR**,
gallon - $100.00 (USD),case (4 gallons) - $388.00 (USD),double case (8) 2 week lead time - $752.00 (USD)
CINNAMON SPICE FLAVOR,
gallon - $110.00 (USD),case (4) 2week lead time - $400.00 (USD)
CINNAMON SUGAR COOKIE,
gallon - $92.00 (USD),case (4) 2week lead time - $360.00 (USD),double case (8) 2 week lead time - $696.00 (USD)
CITRUS PUNCH FLAVOR **,
gallon - $85.50 (USD),case (4 gallons) - $332.00 (USD),double case (8) 2 week lead time - $648.00 (USD)
CITRUS PUNCH II FLAVOR,
gallon - $96.90 (USD),case (4) 2week lead time - $372.00 (USD),double case (8) 2 week lead time - $728.00 (USD)
CLOVE FLAVOR,
gallon - $125.00 (USD),case (4) 2week lead time - $475.00 (USD)
COCOA ROUNDS FLAVOR,
gallon - $135.00 (USD),case (4) 2week lead time - $528.00 (USD)
COCOA TOBACCO TYPE FLAVOR CC,
gallon - $280.00 (USD)
COCONUT CANDY FLAVOR,
gallon - $117.00 (USD),case (4) 2week lead time - $462.00 (USD),double case (8) 2 week lead time - $912.00 (USD)
COCONUT EXTRA FLAVOR,
gallon - $148.20 (USD),case (4) 2week lead time - $552.00 (USD),"double case (8) 2 week lead time - $1,088.00 (USD)"
COCONUT FLAVOR,
gallon - $102.00 (USD),case (4 gallons) - $400.00 (USD),double case (8) 2 week lead time - $776.00 (USD)
COFFEE (KONA) FLAVOR,
gallon - $115.00 (USD)
COFFEE FLAVOR,
gallon - $96.90 (USD),case (4) 2week lead time - $347.60 (USD)
COLA CHERRY FLAVOR,
gallon - $150.00 (USD),case (4) 2week lead time - $592.00 (USD)
COLA FIZZ FLAVOR**,
gallon - $117.00 (USD),case (4) 2week lead time - $428.00 (USD),double case (8) 2 week lead time - $791.52 (USD)
COLA FLAVOR**,
gallon - $117.00 (USD),case (4) 2week lead time - $428.00 (USD),double case (8) 2 week lead time - $791.52 (USD)
CARDAMOM FLAVOR,
gallon - $105.00 (USD)
COLA SODA FLAVOR,
gallon - $170.00 (USD),case (4) 2week lead time - $672.00 (USD)
COLA SYRUP FLAVOR**,
gallon - $102.00 (USD),case (4) 2week lead time - $368.00 (USD),double case (8) 2 week lead time - $720.00 (USD)
COTTON CANDY (CIRCUS),
gallon - $119.00 (USD),case (4) 2week lead time - $468.00 (USD),double case (8) 2 week lead time - $920.00 (USD)
COTTON CANDY FLAVOR,
gallon - $84.00 (USD),case (4 gallons) - $328.00 (USD),double case (8) 2 week lead time - $640.00 (USD)
CRANBERRY FLAVOR**,
gallon - $105.00 (USD),case (4) 2week lead time - $380.00 (USD),double case (8) 2 week lead time - $736.00 (USD)
CRANBERRY SAUCE FLAVOR,
gallon - $133.00 (USD),case (4) 2week lead time - $524.00 (USD)
CREAM SODA FLAVOR,
gallon - $85.50 (USD),case (4) 2week lead time - $322.00 (USD),double case (8) 2 week lead time - $608.00 (USD)
CREME DE MENTHE FLAVOR **,
gallon - $91.20 (USD),case (4) 2week lead time - $356.00 (USD),double case (8) 2 week lead time - $696.00 (USD)
CREME DE MENTHE II FLAVOR,
gallon - $114.00 (USD),case (4) 2week lead time - $448.00 (USD),double case (8) 2 week lead time - $880.00 (USD)
CRUNCHY CEREAL FLAVOR,
gallon - $114.00 (USD),case (4) 2week lead time - $416.00 (USD),double case (8) 2 week lead time - $808.24 (USD)
CUBANO TYPE FLAVOR,
gallon - $105.00 (USD),case (4) 2week lead time - $360.00 (USD),double case (8) 2 week lead time - $712.00 (USD)
CUCUMBER DELUXE FLAVOR,
gallon - $148.20 (USD),case (4) 2week lead time - $552.00 (USD)
CUCUMBER FLAVOR **,
gallon - $114.00 (USD),case (4) 2week lead time - $440.00 (USD),double case (8) 2 week lead time - $763.00 (USD)
DAIRY/MILK FLAVOR,
gallon - $71.25 (USD),case (4 gallons) - $280.00 (USD),double case (8) 2 week lead time - $548.00 (USD)
DARK RUM FLAVOR,
gallon - $135.00 (USD),case (4) 2week lead time - $528.00 (USD)
DATE FLAVOR,

DK TOBACCO BASE FLAVOR **,
gallon - $165.00 (USD),case (4) 2week lead time - $644.00 (USD),"double case (8) 2 week lead time - $1,276.00 (USD)"
DK TOBACCO II FLAVOR,
gallon - $230.80 (USD),case (4) 2week lead time - $916.00 (USD),"double case (8) 2 week lead time - $1,816.00 (USD)"
DOUBLE CHOCOLATE (CLEAR) FLAVOR,
gallon - $140.00 (USD),case (4 gallons) - $520.00 (USD),"double case (8) 2 week lead time - $1,010.00 (USD)"
DOUBLE CHOCOLATE (DARK) FLAVOR,
gallon - $114.00 (USD),case (4) 2week lead time - $416.00 (USD),double case (8) 2 week lead time - $816.00 (USD)
DR. POP FLAVOR,
gallon - $119.00 (USD),case (4) 2week lead time - $440.50 (USD)
DRAGONFRUIT FLAVOR,
gallon - $91.20 (USD),case (4 gallons) - $356.80 (USD),double case (8) 2 week lead time - $697.60 (USD)
DULCE DE LECHE CARAMEL FLAVOR,
gallon - $114.00 (USD),case (4) 2week lead time - $444.00 (USD),double case (8) 2 week lead time - $872.00 (USD)
DULCE DE LECHE FLAVOR **,
gallon - $114.00 (USD),case (4 gallons) - $444.00 (USD),double case (8) 2 week lead time - $864.00 (USD)
DX BANANA CREAM,
gallon - $85.50 (USD),case (4 gallons) - $334.00 (USD),double case (8) 2 week lead time - $652.00 (USD)
DX BANANAS FOSTER FLAVOR,
gallon - $120.00 (USD),case (4) 2week lead time - $450.00 (USD)
DX BAVARIAN CREAM,
gallon - $99.75 (USD),case (4 gallons) - $392.00 (USD),double case (8) 2 week lead time - $768.00 (USD)
DX BROWN SUGAR FLAVOR,
gallon - $147.25 (USD),case (4) 2week lead time - $584.00 (USD)
DX BUTTERSCOTCH FLAVOR,
gallon - $119.70 (USD),case (4) 2week lead time - $438.80 (USD)
DX CARAMEL ORIGINAL,
gallon - $91.20 (USD),case (4 gallons) - $324.80 (USD),double case (8) 2 week lead time - $609.60 (USD)
DX CINNAMON DANISH,
gallon - $105.00 (USD),case (4) 2week lead time - $380.00 (USD)
DX COCONUT CANDY FLAVOR,
gallon - $110.00 (USD),case (4) 2week lead time - $400.00 (USD),double case (8) 2 week lead time - $737.20 (USD)
DX COCONUT FLAVOR,
gallon - $110.00 (USD),case (4) 2week lead time - $420.00 (USD),double case (8) 2 week lead time - $800.00 (USD)
DX FROSTED DONUT FLAVOR,
gallon - $100.00 (USD),case (4) 2week lead time - $375.00 (USD),double case (8) 2 week lead time - $742.00 (USD)
